,name,view,architecture,_runtime,_timestamp,valid_loss,lr_finder_lr,lr_0,wd_0,eps_0,sqr_mom_0,total_runtime,combined_bestf1_time,epoch,mom_0,_wandb,best_f1,accuracy,f1_score,raw_loss,image_size,train_loss,_step,combined_f1_time,train_samples_per_sec
0,restful-sweep-32,encoded34,resnet34,131.68465638160706,1660573405.7483585,0.06235581636428833,0.0005754399462603033,7.0515410840110365e-09,0.01,1e-05,0.99,121.61113648721948,0.9630751437866528,15,0.9499997745803708,{'runtime': 131},0.9671288483362268,0.98369562625885,0.9594633944408856,0.005530630704015493,"[140, 170]",0.0014371327124536035,1394,0.9554096898913116,1350.6808978519157
1,sunny-sweep-31,encoded23,resnet34,129.68877911567688,1660572826.193855,0.06987830251455307,0.0006918309954926372,8.477817224281092e-09,0.01,1e-05,0.99,119.40092433430254,0.9515363585651936,15,0.9499997745803708,{'runtime': 129},0.9555163893763368,0.9821428656578064,0.9544218466149276,0.0017514924984425306,"[140, 170]",0.0036010134499520063,1394,0.9504418158037842,1351.6890126211283
2,good-sweep-30,encoded24,resnet34,127.47348093986513,1660572230.343416,0.06845676153898239,0.0012022644514217973,1.4732757480998004e-08,0.01,1e-05,0.99,117.06174509506673,0.958313639899339,15,0.9499997745803708,{'runtime': 126},0.9622156980691746,0.9829192757606506,0.9590759359362236,0.0014684497145935893,"[140, 170]",0.003504028543829918,1394,0.955173877766388,1370.394328207374
3,sunny-sweep-29,encoded12,resnet34,125.28797101974487,1660571625.937119,0.06857173889875412,0.0006918309954926372,8.477817224281092e-09,0.01,1e-05,0.99,115.18016075668857,0.9566286546957928,15,0.9499997745803708,{'runtime': 124},0.9604679933876824,0.9829192757606506,0.9495542818429172,0.004084862302988768,"[140, 170]",0.0037197982892394066,1394,0.9457149431510276,1356.058619079592
4,ancient-sweep-28,encoded13,resnet34,132.67223978042605,1660571061.3673308,0.06093807518482208,0.0010000000474974513,1.225417433194445e-08,0.01,1e-05,0.99,122.55301250889896,0.9625121295432392,15,0.9499997745803708,{'runtime': 132},0.9665972299602026,0.98369562625885,0.9284705739819604,0.005681541748344898,"[140, 170]",0.0031369696371257305,1394,0.924385473564997,1346.137039380773
5,twilight-sweep-27,encoded14,resnet34,127.47460126876832,1660570473.6726303,0.05709270387887955,0.0002754228771664202,3.3750797914376862e-09,0.01,1e-05,0.99,117.28706869436428,0.9561119474336952,15,0.9499997745803708,{'runtime': 126},0.960021516390174,0.9844720363616944,0.956815680792771,0.0011519234394654632,"[140, 170]",0.0009455850231461228,1394,0.9529061118362924,1361.6508822215528
6,polished-sweep-26,encoded234,resnet34,141.15963506698608,1660569930.3158782,0.05882471054792404,0.0008317637839354575,1.0192577927069927e-08,0.01,1e-05,0.99,130.6517233811319,0.96206879376039,15,0.9499997745803708,{'runtime': 140},0.9664238512064276,0.9844720363616944,0.96406066426759,0.0009382946882396936,"[140, 170]",0.002638251055032015,1394,0.959705606821552,1344.4321053340057
7,faithful-sweep-25,encoded134,resnet34,147.76908373832703,1660569386.4091108,0.04810459911823273,0.0014454397605732083,1.7712669970939426e-08,0.01,1e-05,0.99,137.0123095898889,0.9687758378844512,15,0.9499997745803708,{'runtime': 147},0.9733429148707808,0.989130437374115,0.9702577019522204,0.0011917495867237449,"[140, 170]",0.004524614661931992,1394,0.9656906249658908,1342.7763497025016
8,autumn-sweep-24,encoded123,resnet34,138.63555932044983,1660568883.125111,0.06368841230869293,0.0014454397605732083,1.7712669970939426e-08,0.01,1e-05,0.99,128.04587913583964,0.948204527524174,15,0.9499997745803708,{'runtime': 138},0.9524727234953688,0.9852484464645386,0.9492094373677608,0.00139451096765697,"[140, 170]",0.003926475066691637,1394,0.9449412413965662,1348.2961878077094
9,soft-sweep-23,encoded124,resnet34,131.1044056415558,1660568274.2561283,0.05971664935350418,0.0012022644514217973,1.4732757480998004e-08,0.01,1e-05,0.99,120.96828528726472,0.9625813543567922,15,0.9499997745803708,{'runtime': 130},0.9666136305330344,0.9852484464645386,0.9666136305330344,0.008899683132767677,"[140, 170]",0.004690052475780249,1394,0.9625813543567922,1358.1872437240802
