config,name,f1_score
baseline,rare-sweep-1,0.9729100477067408
baseline,earthy-sweep-2,0.971245359202172
baseline,happy-sweep-3,0.9802917434676666
baseline,soft-sweep-4,0.9790652847480416
baseline,fluent-sweep-5,0.9746823082138342
baseline,celestial-sweep-1,0.978131747307589
baseline,pleasant-sweep-2,0.9674986643035828
baseline,soft-sweep-3,0.980712286595176
baseline,celestial-sweep-4,0.968429297920833
baseline,happy-sweep-5,0.9702511995105524
tl_best5_aug3,copper-sweep-1,0.9788210107942488
tl_best5_aug3,visionary-sweep-2,0.9771842864390792
tl_best5_aug3,solar-sweep-3,0.977039710787676
tl_best5_aug3,fine-sweep-4,0.9691414594334962
tl_best5_aug3,worldly-sweep-5,0.9746919188693216
tl_best5_aug3,glowing-sweep-6,0.9755498725315032
tl_best5_aug3,revived-sweep-7,0.9747841328840398
tl_best5_aug3,fast-sweep-8,0.9626132378489324
tl_best5_aug3,treasured-sweep-9,0.9723736908970544
tl_best5_aug3,giddy-sweep-10,0.974668175240172
tl_best5_aug2,glorious-sweep-1,0.9770229318620623
tl_best5_aug2,glamorous-sweep-2,0.9800505641742489
tl_best5_aug2,electric-sweep-3,0.977305395252786
tl_best5_aug2,absurd-sweep-4,0.9813482925298284
tl_best5_aug2,jumping-sweep-5,0.9727465551937744
tl_best5_aug2,lilac-sweep-6,0.9809958309939674
tl_best5_aug2,likely-sweep-7,0.9798905158811198
tl_best5_aug2,magic-sweep-8,0.9794971543620876
tl_best5_aug2,decent-sweep-9,0.9778982122241068
tl_best5_aug2,fiery-sweep-10,0.9777529466365396
tl_best5_aug1,bright-sweep-1,0.9693936397246172
tl_best5_aug1,comfy-sweep-2,0.9737611598495334
tl_best5_aug1,woven-sweep-3,0.9721847822227342
tl_best5_aug1,pious-sweep-4,0.9658916055565626
tl_best5_aug1,wandering-sweep-5,0.9679244259382764
tl_best5_aug1,crisp-sweep-6,0.9789980376300248
tl_best5_aug1,elated-sweep-7,0.968186939562457
tl_best5_aug1,cosmic-sweep-8,0.9674786639840292
tl_best5_aug1,gallant-sweep-9,0.9573714476865182
tl_best5_aug1,ethereal-sweep-10,0.9682490593607136
tl_best5,silvery-sweep-1,0.9821016950111704
tl_best5,laced-sweep-2,0.9788303842278044
tl_best5,curious-sweep-3,0.9766437447316634
tl_best5,light-sweep-4,0.975608227847756
tl_best5,expert-sweep-5,0.9754479043459774
tl_best5,neat-sweep-1,0.9757963618982856
tl_best5,dashing-sweep-2,0.9799686251346512
tl_best5,dry-sweep-3,0.9779652893794952
tl_best5,logical-sweep-4,0.9804022525368968
tl_best5,major-sweep-5,0.9778601515066851
tl_fast1_aug3,worldly-sweep-1,0.9618236116468968
tl_fast1_aug3,smart-sweep-2,0.9748477696107568
tl_fast1_aug3,glad-sweep-3,0.9804387836157072
tl_fast1_aug3,drawn-sweep-4,0.9794497695454748
tl_fast1_aug3,dutiful-sweep-5,0.9713257841912216
tl_fast1_aug3,earnest-sweep-6,0.97852178487896
tl_fast1_aug3,smart-sweep-7,0.9778192501964588
tl_fast1_aug3,genial-sweep-8,0.9799619096527256
tl_fast1_aug3,warm-sweep-9,0.9759888487707216
tl_fast1_aug3,brisk-sweep-10,0.979445004227894
tl_fast1_aug2,daily-sweep-1,0.965304359185822
tl_fast1_aug2,treasured-sweep-2,0.9636630558861516
tl_fast1_aug2,charmed-sweep-3,0.9709423291728668
tl_fast1_aug2,dry-sweep-4,0.9645260205930282
tl_fast1_aug2,stilted-sweep-5,0.973761084112369
tl_fast1_aug2,solar-sweep-6,0.9773053009130102
tl_fast1_aug2,dulcet-sweep-7,0.9672295807367872
tl_fast1_aug2,lucky-sweep-8,0.9617657333995268
tl_fast1_aug2,genial-sweep-9,0.9656661027442144
tl_fast1_aug2,giddy-sweep-10,0.9704381633887028
tl_fast1_aug1,sparkling-sweep-1,0.9700731798878508
tl_fast1_aug1,playful-sweep-2,0.9691410996400346
tl_fast1_aug1,warm-sweep-3,0.9583202749718178
tl_fast1_aug1,vibrant-sweep-4,0.9446061148910192
tl_fast1_aug1,floral-sweep-5,0.9667556455663324
tl_fast1_aug1,drawn-sweep-6,0.9762079418849028
tl_fast1_aug1,fast-sweep-7,0.9798227554148564
tl_fast1_aug1,devoted-sweep-8,0.9738677262204942
tl_fast1_aug1,hopeful-sweep-9,0.9576664626825248
tl_fast1_aug1,eager-sweep-10,0.9679394526146748
tl_fast1,celestial-sweep-1,0.9791815777051126
tl_fast1,upbeat-sweep-2,0.979755228469856
tl_fast1,flowing-sweep-3,0.977219990654495
tl_fast1,divine-sweep-4,0.9782402624960168
tl_fast1,jumping-sweep-5,0.9798427578388396
tl_fast1,devout-sweep-1,0.9763297019689516
tl_fast1,curious-sweep-2,0.9753945805484108
tl_fast1,trim-sweep-3,0.9797406504064464
tl_fast1,ethereal-sweep-4,0.9805948991867268
tl_fast1,swift-sweep-5,0.979933582142244
