,name,view,architecture,mixed_precision,best_f1,accuracy,image_size,train_samples_per_sec,lr_0,_step,_wandb,lr_finder_lr,combined_f1_time,combined_bestf1_time,epoch,f1_score,sqr_mom_0,eps_0,valid_loss,raw_loss,_timestamp,train_loss,total_runtime,wd_0,mom_0,_runtime
0,jumping-sweep-20,encoded14,resnet34,False,0.9662322592482462,0.9852484464645386,"[140, 170]",873.5479695003336,7.213656543685141e-09,929,{'runtime': 107},0.0004786300996784121,0.9630250670220885,0.9630250670220885,10,0.9662322592482462,0.99,1e-05,0.06392399221658707,0.0033321420196443796,1660540175.9976137,0.005946670193225145,96.21576678473502,0.01,0.949999492848481,107.94653463363647
1,fanciful-sweep-19,encoded124,resnet34,False,0.9607912173031128,0.98369562625885,"[140, 170]",869.0580476074053,7.213656543685141e-09,929,{'runtime': 110},0.0004786300996784121,0.9575044874390508,0.9575044874390508,10,0.9607912173031128,0.99,1e-05,0.06448746472597122,0.0023460527881979942,1660539832.9534438,0.0042776083573699,98.60189592186362,0.01,0.949999492848481,110.73377680778503
2,firm-sweep-18,encoded1234,resnet34,False,0.9716459001593828,0.9883540272712708,"[140, 170]",857.0612895156498,2.3886661255467356e-09,929,{'runtime': 117},0.00015848931798245758,0.9681189118160471,0.9681189118160471,10,0.9716459001593828,0.99,1e-05,0.04847013950347901,0.0011720953043550253,1660539519.1537356,0.0022731630597263575,105.80965030007064,0.01,0.949999492848481,118.19518375396729
3,fearless-sweep-17,merged,resnet34,False,0.9723169933895957,0.9875776171684264,"[280, 340]",255.50888236990903,3.452673124048613e-09,929,{'runtime': 305},0.0002290867705596611,0.963087832355366,0.963087832355366,10,0.9723169933895957,0.99,1e-05,0.04652261361479759,0.0014548685867339373,1660539327.926782,0.0033422154374420643,276.87483102688566,0.01,0.949999492848481,306.09976410865784
4,sparkling-sweep-16,single1,resnet34,False,0.9378660432064162,0.9712733030319214,"[140, 170]",874.5831386913926,1.652553264261218e-09,929,{'runtime': 103},0.00010964782268274575,0.9322017686420602,0.9347604011153212,10,0.935307410733155,0.99,1e-05,0.11905065923929214,0.017915626987814903,1660538785.5528307,0.003711903234943747,93.1692627328448,0.01,0.949999492848481,104.03755569458008
5,expert-sweep-15,encoded14,resnet34,True,0.9647437818222592,0.98369562625885,"[140, 170]",1333.5818500922658,8.672722707201742e-09,929,{'runtime': 80},0.0005754399462603033,0.9623696032693368,0.9623696032693368,10,0.9647437818222592,0.99,1e-05,0.07207425683736801,0.002357832156121731,1660538405.144637,0.006879088934510946,71.22535658767447,0.01,0.949999492848481,80.42518734931946
6,swept-sweep-14,encoded124,resnet34,True,0.9696099853698456,0.9844720363616944,"[140, 170]",1360.476162680453,2.619120265958362e-08,929,{'runtime': 84},0.001737800776027143,0.9671038456618146,0.9671038456618146,10,0.9696099853698456,0.99,1e-05,0.06257209926843643,0.016017630696296692,1660538043.9914606,0.01154879480600357,75.18419124092907,0.01,0.949999492848481,84.86724066734314
7,golden-sweep-13,encoded1234,resnet34,True,0.9650096888255486,0.9844720363616944,"[140, 170]",1310.7097750797652,1.5071465190447112e-08,929,{'runtime': 110},0.0010000000474974513,0.9563739759904116,0.961772723935312,10,0.9596109408806484,0.99,1e-05,0.06326188147068024,0.008775358088314533,1660537734.323464,0.008825485594570637,97.10894670709968,0.01,0.949999492848481,110.65659189224245
8,crimson-sweep-12,merged,resnet34,True,0.9653509933066372,0.986801266670227,"[280, 340]",452.81391072321617,4.151026108620021e-09,929,{'runtime': 204},0.0002754228771664202,0.9591804924796308,0.9591804924796308,10,0.9653509933066372,0.99,1e-05,0.057039711624383926,0.0034595169126987457,1660537503.8780828,0.0048475791700184345,185.11502481019124,0.01,0.949999492848481,205.3620438575745
9,celestial-sweep-11,single1,resnet34,True,0.9461083460918788,0.975931704044342,"[140, 170]",1367.8830076903,1.8119885968623583e-08,929,{'runtime': 90},0.0012022644514217973,0.9433953042847112,0.9433953042847112,10,0.9461083460918788,0.99,1e-05,0.09257205575704576,0.019282452762126923,1660537043.9852853,0.04195856675505638,81.39125421503559,0.01,0.949999492848481,91.57486629486084
10,hopeful-sweep-10,encoded14,resnet18,False,0.961594069714794,0.9813664555549622,"[140, 170]",1496.558303166104,2.8718082755320013e-09,929,{'runtime': 84},0.00019054606673307717,0.9560736713882072,0.9590333962096328,10,0.9586343448933684,0.99,1e-05,0.05257274955511093,0.0011842513922601938,1660536692.7515104,0.002336829202249646,76.82020515482873,0.01,0.949999492848481,84.79226446151733
11,easy-sweep-9,encoded124,resnet18,False,0.9640246580381454,0.9798136353492736,"[140, 170]",1509.5394467276135,7.213656543685141e-09,929,{'runtime': 85},0.0004786300996784121,0.9561398061028552,0.9614340935083768,10,0.9587303706326238,0.99,1e-05,0.05846192315220833,0.0006473764660768211,1660536352.757807,0.003008864587172866,77.71693589305505,0.01,0.949999492848481,85.75022602081299
12,confused-sweep-8,encoded1234,resnet18,False,0.9667676856519954,0.9844720363616944,"[140, 170]",1453.489924432437,1.5071465190447112e-08,929,{'runtime': 92},0.0010000000474974513,0.9638789445671314,0.9639618979922484,10,0.9666847322268785,0.99,1e-05,0.06075108423829079,0.013263626024127008,1660535994.7855926,0.005137922242283821,84.17362979240716,0.01,0.949999492848481,93.39898157119752
